iter	Passed	Remaining
514	149929	141195
515	150234	140917
516	150495	140598
517	150837	140354
518	151102	140038
519	151341	139699
520	151652	139426
521	151964	139155
522	152280	138887
523	152541	138567
524	152785	138234
525	153087	137953
526	153373	137657
527	153729	137425
528	154032	137144
529	154340	136867
530	154673	136613
531	154966	136324
532	155277	136050
533	155575	135764
534	155945	135541
535	156258	135268
536	156551	134978
537	156815	134662
538	157123	134385
539	157479	134149
540	157778	133863
541	158117	133612
542	158408	133319
543	158891	133188
544	159263	132962
545	159730	132816
546	160115	132599
547	161155	132923
548	161519	132686
549	161842	132416
550	162150	132133
551	162470	131859
552	162760	131562
553	163084	131291
554	163426	131035
555	163733	130751
556	164051	130475
557	164356	130189
558	164676	129914
559	164965	129615
560	165291	129345
561	165577	129044
562	165864	128744
563	166195	128477
564	166460	128160
565	166795	127896
566	167045	127567
567	167375	127299
568	167702	127029
569	168012	126746
570	168311	126454
571	168615	126166
572	168921	125880
573	169172	125553
574	169485	125272
575	169793	124987
576	170082	124687
577	170373	124390
578	170622	124061
579	170901	123756
580	171222	123480
581	171470	123152
582	171779	122868
583	172087	122582
584	172385	122290
585	172688	122001
586	172999	121718
587	173334	121451
588	173655	121175
589	173957	120885
590	174295	120620
591	174599	120332
592	174927	120059
593	175209	119755
594	175510	119464
595	175827	119185
596	176182	118930
597	176611	118725
598	176930	118446
599	177252	118168
600	177541	117868
601	177842	117577
602	178176	117306
603	178509	117035
604	178829	116756
605	179188	116501
606	179450	116184
607	179756	115895
608	180009	115572
609	180309	115280
610	180610	114987
611	180896	114685
612	181254	114430
613	181534	114124
614	181794	113806
615	182070	113498
616	182351	113193
617	182645	112897
618	182909	112582
619	183278	112331
620	183586	112043
621	184156	111914
622	184679	111756
623	185162	111572
624	185529	111317
625	185956	111098
626	186396	110886
627	186707	110597
628	187023	110311
629	187316	110011
630	187664	109743
631	187982	109458
632	188298	109171
633	188615	108885
634	188972	108622
635	189317	108351
636	189636	108066
637	189973	107790
638	190285	107500
639	190581	107201
640	190878	106903
641	191195	106616
642	191545	106347
643	191941	106104
644	192268	105822
645	192615	105550
646	192939	105266
647	193278	104990
648	193581	104694
649	193897	104406
650	194210	104115
651	194493	103809
652	194794	103512
653	195093	103214
654	195401	102921
655	195738	102643
656	196092	102373
657	196426	102094
658	196773	101820
659	197102	101537
660	197464	101271
661	197819	101001
662	198138	100712
663	198502	100446
664	198820	100157
665	199168	99883
666	199519	99610
667	199836	99319
668	200167	99036
669	200463	98735
670	200749	98429
671	201115	98163
672	201443	97878
673	201749	97582
674	202066	97291
675	202379	96998
676	202684	96701
677	203005	96412
678	203363	96140
679	203683	95851
680	203995	95557
681	204290	95255
682	204593	94957
683	204955	94686
684	205322	94418
685	205678	94144
686	205989	93849
687	206317	93562
688	206604	93256
689	206960	92982
690	207320	92709
691	207608	92403
692	207931	92113
693	208287	91838
694	208640	91561
695	208937	91260
696	209319	90995
697	209664	90714
698	209986	90423
699	210380	90162
700	210779	89904
701	211226	89666
702	211579	89387
703	211959	89119
704	212296	88833
705	212671	88562
706	213126	88325
707	213575	88084
708	213967	87820
709	214408	87575
710	214781	87302
711	215227	87058
712	215641	86801
713	216076	86551
714	216546	86315
715	216937	86047
716	217303	85769
717	217758	85526
718	218336	85330
719	219128	85216
720	219570	84965
721	219994	84707
722	220450	84460
723	220777	84163
724	221261	83926
725	221728	83682
726	222135	83415
727	222514	83137
728	222921	82869
729	223639	82715
730	223961	82415
731	224423	82166
732	225678	82204
733	226252	81993
734	226646	81715
735	226927	81397
736	227338	81126
737	227704	80838
738	228184	80590
739	228516	80289
740	228799	79971
741	229208	79697
742	229503	79384
743	229878	79098
744	230197	78792
745	230518	78487
746	230858	78188
747	231279	77917
748	231706	77647
749	232336	77445
750	232755	77172
751	233118	76879
752	233507	76595
753	233843	76293
754	234199	75998
755	234572	75708
756	234935	75415
757	235328	75131
758	235718	74846
759	236085	74553
760	236471	74266
761	236828	73970
762	237137	73658
763	237482	73358
764	237827	73058
765	238161	72754
766	238472	72443
767	238731	72116
768	239084	71818
769	239431	71518
770	239730	71203
771	239991	70878
772	240315	70571
773	240629	70261
774	240935	69949
775	241264	69643
776	241575	69332
777	241914	69029
778	242231	68720
779	242512	68400
780	242859	68100
781	243165	67787
782	243429	67463
783	243710	67144
784	244003	66828
785	244272	66506
786	244617	66205
787	244935	65896
788	245228	65580
789	245575	65279
790	245978	64993
791	246283	64680
792	246591	64368
793	246878	64051
794	247139	63727
795	247440	63414
796	247753	63104
797	248017	62781
798	248309	62465
799	248657	62164
800	248941	61846
801	249274	61541
802	249611	61237
803	249910	60923
804	250258	60621
805	250571	60311
806	250931	60012
807	251241	59700
808	251562	59392
809	251915	59091
810	252237	58782
811	252561	58474
812	252895	58168
813	253233	57864
814	253561	57556
815	253862	57243
816	254184	56934
817	254476	56619
818	254798	56310
819	255066	55990
820	255364	55676
821	255675	55365
822	255962	55048
823	256287	54740
824	256613	54433
825	256927	54122
826	257274	53819
827	257558	53502
828	257841	53185
829	258169	52878
830	258447	52560
831	258765	52250
832	259067	51937
833	259394	51630
834	259694	51316
835	260002	51005
836	260296	50690
837	260572	50373
838	260870	50059
839	261207	49753
840	261550	49448
841	261827	49131
842	262140	48820
843	262435	48507
844	262728	48192
845	263030	47880
846	263351	47571
847	263634	47255
848	263899	46936
849	264186	46621
850	264527	46315
851	264848	46006
852	265087	45683
853	265384	45370
854	265655	45052
855	265948	44738
856	266223	44422
857	266529	44110
858	266795	43793
859	267134	43487
860	267455	43178
861	267713	42859
862	268042	42551
863	268346	42239
864	268617	41922
865	268948	41615
866	269211	41297
867	269531	40988
868	269844	40678
869	270174	40370
870	270509	40063
871	270822	39753
872	271084	39436
873	271390	39124
874	271784	38826
875	272106	38517
876	272514	38220
877	272857	37914
878	273148	37600
879	273499	37295
880	273807	36984
881	274135	36675
882	274441	36364
883	274751	36053
884	275092	35746
885	275414	35437
886	275757	35130
887	276044	34816
888	276340	34503
889	276627	34189
890	276921	33877
891	277237	33566
892	277541	33255
893	277820	32940
894	278147	32631
895	278412	32315
896	278672	31999
897	278960	31685
898	279272	31375
899	279556	31061
900	279860	30750
901	280169	30439
902	280485	30129
903	280805	29820
904	281079	29505
905	281420	29198
906	281708	28885
907	282036	28576
908	282335	28264
909	282630	27952
910	282915	27639
911	283259	27332
912	283580	27022
913	283854	26708
914	284198	26400
915	284477	26087
916	284851	25782
917	285200	25475
918	285516	25165
919	285850	24856
920	286158	24545
921	286462	24234
922	286750	23921
923	287100	23614
924	287441	23306
925	287773	22997
926	288093	22686
927	288367	22373
928	288676	22062
929	288965	21750
930	289273	21439
931	289555	21126
932	289854	20814
933	290136	20502
934	290481	20193
935	290733	19879
936	290978	19564
937	291287	19253
938	291617	18944
939	291976	18636
940	292274	18325
941	292593	18015
942	292893	17704
943	293201	17393
944	293509	17082
945	293831	16772
946	294109	16460
947	294408	16148
948	294736	15839
949	295053	15529
950	295353	15218
951	295641	14906
952	295946	14595
953	296270	14285
954	296607	13976
955	296926	13666
956	297231	13355
957	297581	13046
958	297906	12736
959	298197	12424
960	298541	12115
961	298827	11804
962	299137	11493
963	299409	11181
964	299711	10870
965	300034	10560
966	300349	10249
967	300694	9940
968	300975	9628
969	301294	9318
970	301626	9008
971	301956	8698
972	302240	8386
973	302576	8076
974	302894	7766
975	303164	7454
976	303419	7142
977	303716	6832
978	304023	6521
979	304283	6209
980	304594	5899
981	304901	5588
982	305195	5278
983	305567	4968
984	305896	4658
985	306237	4348
986	306581	4038
987	306942	3728
988	307236	3417
989	307548	3106
990	307844	2795
991	308145	2485
992	308440	2174
993	308743	1863
994	309082	1553
995	309391	1242
996	309695	931
997	310014	621
998	310315	310
999	310612	0
