iter	Logloss
0	0.5189460768
1	0.4074142474
2	0.3313895894
3	0.2814008687
4	0.2471395156
5	0.2251168457
6	0.2093260648
7	0.1977915085
8	0.1909049449
9	0.1843601069
10	0.180828419
11	0.1784490891
12	0.1755202175
13	0.1733267923
14	0.1717465008
15	0.1707939714
16	0.1697502145
17	0.1687837637
18	0.1680569133
19	0.1675205483
20	0.1670708221
21	0.1667869121
22	0.1664491484
23	0.1660882224
24	0.1658265666
25	0.1656181328
26	0.1654221555
27	0.1652643633
28	0.1650809543
29	0.1649164692
30	0.1647659972
31	0.1645775108
32	0.1644202535
33	0.1641089554
34	0.1639233743
35	0.1638057225
36	0.1636770489
37	0.1635627958
38	0.1634839167
39	0.1632839684
40	0.1632047816
41	0.1630914055
42	0.1630347303
43	0.1628754437
44	0.1627743255
45	0.1627599697
46	0.1627009708
47	0.1626364718
48	0.1624802444
49	0.1624736436
50	0.1623944175
51	0.1622863919
52	0.1622163972
53	0.1621443774
54	0.162065422
55	0.1620395449
56	0.1619577973
57	0.1619005902
58	0.1618270101
59	0.1617286585
60	0.1617001829
61	0.1616540094
62	0.161532195
63	0.1614375018
64	0.1613711335
65	0.1612955337
66	0.1612380099
67	0.161208803
68	0.1610957962
69	0.1610207524
70	0.1609486247
71	0.1608711653
72	0.1607851582
73	0.1607659001
74	0.1607293724
75	0.1606730077
76	0.1606233747
77	0.1605395284
78	0.1605227674
79	0.1604783964
80	0.1604626029
81	0.1604249184
82	0.1603094638
83	0.1602251125
84	0.1601580894
85	0.1600883027
86	0.1600501588
87	0.1600078919
88	0.1599528304
89	0.1598835307
90	0.1598221381
91	0.1597458829
92	0.1596660353
93	0.1596369138
94	0.1595851222
95	0.1595558731
96	0.1594514285
97	0.1593490783
98	0.1592890941
99	0.1592327997
100	0.1591597371
101	0.1591145384
102	0.1590742818
103	0.159030498
104	0.159000478
105	0.1589903082
106	0.1589199245
107	0.1588892235
108	0.158865254
109	0.1587838742
110	0.1587245865
111	0.1587018137
112	0.1586582691
113	0.1586090465
114	0.1584853311
115	0.1584714527
116	0.1584243299
117	0.1584163286
118	0.1583840874
119	0.1583172465
120	0.1582836239
121	0.1582289121
122	0.1582000651
123	0.1581624744
124	0.1581262658
125	0.1580525283
126	0.1580007468
127	0.1579262453
128	0.1578466728
129	0.1578134705
130	0.1577480379
131	0.1576928338
132	0.1576477605
133	0.157572429
134	0.1575353508
135	0.1575127102
136	0.1574463784
137	0.1574188514
138	0.1573320286
139	0.1572198936
140	0.1571485443
141	0.1571223711
142	0.1570849482
143	0.1570280276
144	0.1569925782
145	0.1569112274
146	0.1568753388
147	0.1568318468
148	0.1568298814
149	0.1567721913
150	0.156746838
151	0.1566628954
152	0.1566209867
153	0.1565689824
154	0.1565418538
155	0.1565004312
156	0.1564811076
157	0.1564438817
158	0.156370955
159	0.1563303039
160	0.1563158357
161	0.1562799157
162	0.1562360983
163	0.1562038758
164	0.1561546304
165	0.1560837043
166	0.1560503337
167	0.1560259884
168	0.155971592
169	0.155932845
170	0.1559111483
171	0.1558829701
172	0.1558535408
173	0.1557846882
174	0.1557437831
175	0.1557358635
176	0.1556857621
